"time","MCF-LW12CO2.mean_humidity","MCF-LW12CO2.mean_temperature"
"2021-11-19T15:16:00.000+01:00",,
"2021-11-19T15:44:00.000+01:00","40","22.4"
"2021-11-19T16:12:00.000+01:00","39.5","22.42"
"2021-11-19T16:40:00.000+01:00","39","22.42"
"2021-11-19T17:08:00.000+01:00","38.5","22.32"
"2021-11-19T17:36:00.000+01:00","38","22.12"
"2021-11-19T18:04:00.000+01:00","37.5","21.94"
"2021-11-19T18:32:00.000+01:00","38","21.85"
"2021-11-19T19:00:00.000+01:00","38","21.73"
"2021-11-19T19:28:00.000+01:00",,
"2021-11-19T19:56:00.000+01:00","38","21.67"
"2021-11-19T20:24:00.000+01:00","37.5","21.6"
"2021-11-19T20:52:00.000+01:00","37.5","21.55"
"2021-11-19T21:20:00.000+01:00","37","21.5"
"2021-11-19T21:48:00.000+01:00","36","21.43"
"2021-11-19T22:16:00.000+01:00","35.5","21.36"
"2021-11-19T22:44:00.000+01:00","34.5","21.29"
"2021-11-19T23:12:00.000+01:00","34","21.22"
"2021-11-19T23:40:00.000+01:00","33","21.14"
"2021-11-20T00:08:00.000+01:00","32.75","21.11"
"2021-11-20T00:36:00.000+01:00","32.5","21.01"
"2021-11-20T01:04:00.000+01:00","32.5","20.96"
"2021-11-20T01:32:00.000+01:00","32","20.89"
"2021-11-20T02:00:00.000+01:00",,
"2021-11-20T02:28:00.000+01:00","31.5","20.84"
"2021-11-20T02:56:00.000+01:00","31","20.77"
"2021-11-20T03:24:00.000+01:00","30.5","20.72"
"2021-11-20T03:52:00.000+01:00","30","20.67"
"2021-11-20T04:20:00.000+01:00","30","20.63"
"2021-11-20T04:48:00.000+01:00","29.5","20.61"
"2021-11-20T05:16:00.000+01:00","29.5","20.59"
"2021-11-20T05:44:00.000+01:00","29.5","20.58"
"2021-11-20T06:12:00.000+01:00","29","20.56"
"2021-11-20T06:40:00.000+01:00","29","20.55"
"2021-11-20T07:08:00.000+01:00","29","20.53"
"2021-11-20T07:36:00.000+01:00","28.5","20.54"
"2021-11-20T08:04:00.000+01:00",,
"2021-11-20T08:32:00.000+01:00","28.5","20.51"
"2021-11-20T09:00:00.000+01:00","28","20.52"
"2021-11-20T09:28:00.000+01:00","28","20.51"
"2021-11-20T09:56:00.000+01:00","28","20.53"
"2021-11-20T10:24:00.000+01:00","28","20.57"
"2021-11-20T10:52:00.000+01:00","28","20.61"
"2021-11-20T11:20:00.000+01:00","28","20.68"
"2021-11-20T11:48:00.000+01:00","28","20.9"
"2021-11-20T12:16:00.000+01:00","27.5","21.08"
"2021-11-20T12:44:00.000+01:00","27.5","21.24"
"2021-11-20T13:12:00.000+01:00","27.5","21.4"
"2021-11-20T13:40:00.000+01:00","27.5","21.52"
"2021-11-20T14:08:00.000+01:00",,
